country,keyword,search_interest
Madagascar,guided meditation,0
Malawi,guided meditation,0
Malaysia,guided meditation,1
Maldives,guided meditation,3
Mali,guided meditation,0
Malta,guided meditation,6
Marshall Islands,guided meditation,0
Martinique,guided meditation,0
Mauritania,guided meditation,0
Mauritius,guided meditation,2
Mayotte,guided meditation,0
Mexico,guided meditation,1
Micronesia,guided meditation,0
Moldova,guided meditation,2
Mongolia,guided meditation,2
Montenegro,guided meditation,2
Morocco,guided meditation,1
Mozambique,guided meditation,3
Myanmar (Burma),guided meditation,1
Namibia,guided meditation,2
Nepal,guided meditation,1
Netherlands,guided meditation,1
New Caledonia,guided meditation,0
New Zealand,guided meditation,5
Nicaragua,guided meditation,1
Niger,guided meditation,0
Nigeria,guided meditation,1
North Macedonia,guided meditation,4
Northern Mariana Islands,guided meditation,0
Norway,guided meditation,2
Oman,guided meditation,2
Pakistan,guided meditation,1
Palau,guided meditation,0
Palestine,guided meditation,3
Panama,guided meditation,2
Papua New Guinea,guided meditation,2
Paraguay,guided meditation,0
Peru,guided meditation,0
Philippines,guided meditation,1
Poland,guided meditation,1
Portugal,guided meditation,2
Puerto Rico,guided meditation,3
Qatar,guided meditation,2
Romania,guided meditation,2
Russia,guided meditation,2
Rwanda,guided meditation,2
Réunion,guided meditation,0
Samoa,guided meditation,0
San Marino,guided meditation,0
Saudi Arabia,guided meditation,2
Senegal,guided meditation,0
Serbia,guided meditation,2
Seychelles,guided meditation,0
Sierra Leone,guided meditation,0
Singapore,guided meditation,1
Sint Maarten,guided meditation,0
Slovakia,guided meditation,1
Slovenia,guided meditation,2
Solomon Islands,guided meditation,0
Somalia,guided meditation,0
South Africa,guided meditation,5
South Korea,guided meditation,2
South Sudan,guided meditation,0
Spain,guided meditation,1
Sri Lanka,guided meditation,1
St. Barthélemy,guided meditation,0
St. Helena,guided meditation,3
St. Kitts & Nevis,guided meditation,0
St. Lucia,guided meditation,3
St. Martin,guided meditation,0
St. Pierre & Miquelon,guided meditation,0
St. Vincent & Grenadines,guided meditation,7
Sudan,guided meditation,2
Suriname,guided meditation,3
Sweden,guided meditation,1
Switzerland,guided meditation,0
Syria,guided meditation,0
Taiwan,guided meditation,2
Tajikistan,guided meditation,0
Tanzania,guided meditation,1
Thailand,guided meditation,1
Timor-Leste,guided meditation,0
Togo,guided meditation,0
Tonga,guided meditation,0
Trinidad & Tobago,guided meditation,3
Tunisia,guided meditation,1
Turkmenistan,guided meditation,0
Turks & Caicos Islands,guided meditation,0
Türkiye,guided meditation,1
U.S. Virgin Islands,guided meditation,7
Uganda,guided meditation,1
Ukraine,guided meditation,2
United Arab Emirates,guided meditation,2
United Kingdom,guided meditation,5
United States,guided meditation,6
Uruguay,guided meditation,0
Uzbekistan,guided meditation,1
Vanuatu,guided meditation,0
Venezuela,guided meditation,1
Vietnam,guided meditation,2
Western Sahara,guided meditation,0
Yemen,guided meditation,0
Zambia,guided meditation,2
Zimbabwe,guided meditation,3
Åland Islands,guided meditation,0
